LST_Kelvin,NDVI,Albedo,LST_Celsius,RHII,BAH,TAH,IAH,MAH,AOD,Optimized_NDVI,Optimized_Albedo,Delta_T
326.82932654,0.1110642775893211,0.225532,53.679326540000034,14.288410446653302,67.29110411136925,46.56712003386688,0.0,16.822776027842313,0.24952163591153106,0.1252988944384933,0.28462735997403193,3.483776092529297
326.74387604000003,0.1233367472887039,0.178133,53.593876040000055,14.202959946653325,66.23899050625019,47.58946772362027,0.0,16.559747626562547,0.5206031882378482,0.18072253342332434,0.29591569274989404,0.4266700744628906
326.74045802,0.1290555149316787,0.1956357,53.59045802000003,14.199541926653296,65.74872298968091,46.59564711094184,0.0,16.43718074742023,0.7554118862460351,0.18875941607828364,0.4090046339070894,-2.2295761108398438
326.47727048,0.1138246804475784,0.2185169,53.32727048000004,13.936354386653306,67.0544559489437,46.66560934266836,0.0,16.763613987235924,0.2859096871077353,0.11575148679776004,0.3816192996356237,3.055889129638672
326.37131186,0.1432525962591171,0.2064204,53.221311860000014,13.830395766653282,64.53161324865376,45.3450791627335,0.0,16.13290331216344,0.35222638883567503,0.2328350226795522,0.31052071837471185,1.8631324768066406
326.26535324,0.1110546365380287,0.1822278,53.11535323999999,13.724437146653258,67.29193063459405,48.19232955915826,0.0,16.822982658648513,0.5374529601237386,0.13007746426393307,0.33849916128540697,0.3461151123046875
326.25509918,0.1137622520327568,0.2196936,53.105099180000025,13.714183086653293,67.05980791038169,46.62534015909212,0.0,16.764951977595423,0.4881101563764013,0.13265137039757358,0.2628505118488521,0.3188743591308594
326.20382888,0.1263411492109298,0.212582,53.053828880000026,13.662912786653294,65.98142440789768,46.13717061018661,0.0,16.49535610197442,0.3404851989528423,0.1666249578272538,0.26487256026791256,2.2237892150878906
325.95089540000004,0.1394786387681961,0.176949,52.80089540000006,13.409979306653328,64.85515301844748,46.6380597462385,0.0,16.21378825461187,0.7021393798285043,0.24158675705382915,0.32716699720898434,-1.6872291564941406
325.89278906,0.1020608469843864,0.1787516,52.74278906000001,13.351872966653277,68.06296438597015,48.87642970102582,0.0,17.015741096492537,0.14443412764284802,0.13201092743089776,0.31323810084530646,6.052921295166016
325.75948628000003,0.1221605241298675,0.1843956,52.609486280000056,13.218570186653324,66.33982761714812,47.430285480287,0.0,16.58495690428703,0.125770237609276,0.35212055994543706,0.2700430649398578,5.978916168212891
325.69967093,0.1269803792238235,0.1730216,52.54967092999999,13.15875483665326,65.9266234908989,47.55292025284358,0.0,16.481655872724726,0.3703665874959611,0.5939476363956395,0.2368223222100025,2.3667869567871094
325.65523667,0.1222933828830719,0.1679335,52.50523666999999,13.114320576653256,66.32843769277027,48.03090547363922,0.0,16.582109423192566,0.5558670052565434,0.1370809024683902,0.4020562749607008,0.1627044677734375
325.5578231,0.124397300183773,0.2041571999999999,52.40782310000003,13.016907006653298,66.1480697578448,46.56439579651106,0.0,16.5370174394612,0.23561989733996858,0.12823615496877094,0.23997623706852036,3.776630401611328
325.55098706,0.1254612505435943,0.1756834,52.400987060000034,13.010070966653302,66.05685774623188,47.548828808414186,0.0,16.51421443655797,0.23784963317589766,0.16017327697641215,0.24988801634282337,4.252231597900391
325.54415102,0.1172122508287429,0.221567,52.39415101999998,13.00323492665325,66.76404098165308,46.34996662188141,0.0,16.69101024541327,0.31373528767227227,0.19388248396499436,0.396220879536353,2.5431480407714844
325.540733,0.1366532891988754,0.2031962,52.39073300000001,12.99981690665328,65.09736903477621,45.85964146465858,0.0,16.274342258694052,0.20792281915685162,0.22795943521275872,0.39890373823011255,3.9737472534179688
325.51680686,0.1275590509176254,0.2029412,52.36680686,12.975890766653263,65.87701421282695,46.41824970868157,0.0,16.469253553206737,0.2165757532720366,0.17804994229104926,0.2291861253526172,4.002708435058594
325.4894627,0.1361256539821624,0.2008031,52.33946270000001,12.94854660665328,65.1426029773845,45.97842170529542,0.0,16.285650744346125,0.5462746104546309,0.1529912271718055,0.269418988237066,-0.41650390625
325.48604468,0.0946773439645767,0.1721478,52.33604467999999,12.945128586653254,68.69594895801355,49.58390289397225,0.0,17.173987239503386,0.19433209184063238,0.1101758111470411,0.3137234726679848,5.522251129150391
