LST_Kelvin,NDVI,Albedo,LST_Celsius,RHII,BAH,TAH,IAH,MAH,Optimized_NDVI,Optimized_Albedo,Delta_T
326.82932654,0.1110642775893211,0.225532,53.679326540000034,14.288410446653302,67.29110411136925,46.56712003386688,0.0,16.822776027842313,0.1252988944384933,0.28462735997403193,0.3477134704589844
326.74387604000003,0.1233367472887039,0.178133,53.593876040000055,14.202959946653325,66.23899050625019,47.58946772362027,0.0,16.559747626562547,0.18072253342332434,0.29591569274989404,-0.2539024353027344
326.74045802,0.1290555149316787,0.1956357,53.59045802000003,14.199541926653296,65.74872298968091,46.59564711094184,0.0,16.43718074742023,0.18875941607828364,0.4090046339070894,-0.07081222534179688
326.47727048,0.1138246804475784,0.2185169,53.32727048000004,13.936354386653306,67.0544559489437,46.66560934266836,0.0,16.763613987235924,0.11575148679776004,0.3816192996356237,0.2989616394042969
326.37131186,0.1432525962591171,0.2064204,53.221311860000014,13.830395766653282,64.53161324865376,45.3450791627335,0.0,16.13290331216344,0.2328350226795522,0.31052071837471185,0.18841171264648438
326.26535324,0.1110546365380287,0.1822278,53.11535323999999,13.724437146653258,67.29193063459405,48.19232955915826,0.0,16.822982658648513,0.13007746426393307,0.33849916128540697,-0.1242523193359375
326.25509918,0.1137622520327568,0.2196936,53.105099180000025,13.714183086653293,67.05980791038169,46.62534015909212,0.0,16.764951977595423,0.13265137039757358,0.2628505118488521,0.29640960693359375
326.20382888,0.1263411492109298,0.212582,53.053828880000026,13.662912786653294,65.98142440789768,46.13717061018661,0.0,16.49535610197442,0.1666249578272538,0.26487256026791256,0.24754714965820312
325.95089540000004,0.1394786387681961,0.176949,52.80089540000006,13.409979306653328,64.85515301844748,46.6380597462385,0.0,16.21378825461187,0.24158675705382915,0.32716699720898434,-0.3211479187011719
325.89278906,0.1020608469843864,0.1787516,52.74278906000001,13.351872966653277,68.06296438597015,48.87642970102582,0.0,17.015741096492537,0.13201092743089776,0.31323810084530646,-0.061305999755859375
325.75948628000003,0.1221605241298675,0.1843956,52.609486280000056,13.218570186653324,66.33982761714812,47.430285480287,0.0,16.58495690428703,0.35212055994543706,0.2700430649398578,-0.21043777465820312
325.69967093,0.1269803792238235,0.1730216,52.54967092999999,13.15875483665326,65.9266234908989,47.55292025284358,0.0,16.481655872724726,0.5939476363956395,0.2368223222100025,-0.2523307800292969
325.65523667,0.1222933828830719,0.1679335,52.50523666999999,13.114320576653256,66.32843769277027,48.03090547363922,0.0,16.582109423192566,0.1370809024683902,0.4020562749607008,-0.053218841552734375
325.5578231,0.124397300183773,0.2041571999999999,52.40782310000003,13.016907006653298,66.1480697578448,46.56439579651106,0.0,16.5370174394612,0.12823615496877094,0.23997623706852036,0.16921234130859375
